athlete_id,name,sex,born,height,weight,country,country_noc,description,special_notes
93334,Craig Hutchison,Male,26 May 1975,198,97, Canada,CAN,,"Listed in Olympians Who Won a Medal at the Pan Pacific Swimming Championships (0–0–1 1999 Sydney bronze: 4×100 m freestyle relay) Listed in Olympians Who Won a Medal at the British Empire/Commonwealth Games (0–1–2 1998 Kuala Lumpur SWI silver: 4×100 m freestyle, bronze: 4×100 m medley (swam in heats only); 2002 Manchester SWI bronze: 4×100 m freestyle)"
146013,Raquel Queirós,Female,4 March 2000,167,56, Portugal,POR,,
109912,Vyacheslav Kurginyan,Male,22 December 1986,170,65, Russian Federation,RUS,,Listed in Olympians Who Won a Medal at the European Short Track Speed Skating Championships (0–1–0 2012 Mladá Boleslav silver: 5000 m relay) Listed in Olympians Who Won a Medal at the World Short Track Speed Skating Championships (0–1–0 2013 Debrecen silver: 5000 m relay)
37019,Philippe Lot,Male,13 June 1967,189,85, France,FRA,,Listed in Olympians Who Won a Medal at the Mediterranean Games (1–0–1 1991 Athina ROW bronze: coxless fours; 1993 Linguadoca-Roussillon ROW gold: coxless fours)
22885,Rudy Kugeler,Male,11 August 1928,187,86, Luxembourg,LUX,,
